Ticker,Name,Sector,Price,Dividend Yield,1-Year Dividend Growth,5-Year Dividend Growth (Annualized),Dividends Per Share (TTM),Market Cap ($M),Trailing P/E Ratio,Payout Ratio,Beta,52-Week High,52-Week Low
MARA,Marathon Digital Holdings Inc,Financial Services,"28,63",0,,,0,"2938,314851",0,N/A,"4,214108595","83,45","18,32"
MARK,Remark Holdings Inc,Communication Services,"0,9201",0,,,0,"96,755663",0,N/A,"1,588292881","6,7","0,7277"
MAS,Masco Corp.,Industrials,"58,03","0,01210462086",,,"0,7024311483","13922,92069","17,14645406","0,2167997371","0,9283499017","71,06","51,39"
MASI,Masimo Corp,Healthcare,"228,84",0,,,0,"12636,93131","54,45591753",0,"1,092363066","305,21","198,24"
MAT,"Mattel, Inc.",Consumer Cyclical,"25,3",0,,,0,"8863,633448","11,01253056",0,"0,9515413051","25,3","17,95"
MATW,Matthews International Corp.,Industrials,"34,25","0,02569343066","0,02325581395","0,05291848907","0,8644999548","1080,601748",N/A,N/A,"1,072228896","42,98","31,22"
MATX,Matson Inc,Industrials,"87,41","0,01286520945","0,3043478261","0,09565425775","1,124547958","3674,014235","5,940200866","0,07947335393","1,126801162","101,38",59
MAYS,J.W. Mays Inc.,Real Estate,"38,4",0,,,0,"77,405952",0,N/A,,"45,5","25,9"
MBCN,Middlefield Banc Corp.,Financial Services,"25,98","0,02477443263","-0,75","-0,3174424963","0,6436397597","155,051134",0,N/A,,"27,59","19,93"
MBI,MBIA Inc.,Financial Services,"15,22",0,,,0,"828,063186",N/A,0,"1,040509392","17,9","6,15"
MBII,Marrone Bio Innovations Inc,Basic Materials,"0,6857",0,,,0,"121,473607",0,N/A,"1,730528454","2,83","0,5492"
MBIN,Merchants Bancorp,Financial Services,"30,32","0,01183470244",,,"0,3588281781","872,77254",0,N/A,"1,154526713","49,63","27,98"
MBIO,Mustang Bio Inc,Healthcare,"1,02",0,,,0,"94,434077",0,N/A,"1,716367635","4,2","0,948"
MBOT,Microbot Medical Inc,Healthcare,"5,77",0,,,0,"41,013927",0,N/A,"1,505977269","10,6","4,31"
MBUU,Malibu Boats Inc,Consumer Cyclical,"69,39",0,,,0,"1450,283336","11,66216356",0,"1,355389863",93,"55,28"
MBWM,Mercantile Bank Corp.,Financial Services,"38,08","0,0305678442","0,07142857143","0,1075663432","1,164023507","596,738162","9,709058631","0,3055179809","0,7251806017","40,01","27,87"
MC,Moelis & Co,Financial Services,"51,59","0,04373370974","3,545454545","0,3969100123","2,256222086","3145,148804","8,010118005","0,3896756624","1,325381656","76,88","47,04"
MCB,Metropolitan Bank Holding Corp,Financial Services,"106,56",0,,,0,"1134,2451",0,N/A,"1,02238043","115,78","47,7"
MCBC,Macatawa Bank Corp.,Financial Services,"9,44","0,03345010567",0,"0,148698355","0,3157689975","322,751703","10,15133996","0,3395000511","0,4769895581","10,29","7,24"
MCD,McDonald`s Corp,Consumer Cyclical,"253,81","0,02174855207","0,06976744186","0,07981721407","5,207664988","189658,3618","26,0390963","0,5374267274","0,5856848133","271,15","199,41"
MCF,Contango Oil & Gas Company,Energy,"3,22",0,,,0,"648,310186",N/A,0,"1,578888684","6,94","1,59"
MCFT,MasterCraft Boat Holdings Inc,Consumer Cyclical,"28,38",0,,,0,"524,978973","8,765720033",0,"1,211148744","33,63","23,04"
MCHP,"Microchip Technology, Inc.",Technology,"74,98","0,01347025874","-0,3704206242","-0,08463109247","0,5402507786","41688,18486","43,26295648","0,3177945756","1,954313794",90,"32,08"
MCHX,Marchex Inc,Communication Services,"2,15",0,,,0,"79,316688",N/A,0,"1,305919795","3,67","2,03"
MCK,Mckesson Corporation,Healthcare,"273,9","0,006863818912","0,119047619","0,1091440795","1,774380364","41029,77573","29,05791483","0,1956317932","0,6351703189","282,73","167,81"
MCO,Moody`s Corp.,Financial Services,"329,82","0,00848947911",,,"2,47378747","61313,538","29,18302618","0,2216655439","1,070283246","407,29","271,19"
MCRB,Seres Therapeutics Inc,Healthcare,"8,44",0,,,0,"775,189836",N/A,0,"1,197962947","25,5","5,41"
MCRI,"Monarch Casino & Resort, Inc.",Consumer Cyclical,"76,84",0,,,0,"1439,703209","22,53867916",0,"1,217924055","79,19","54,06"
MCS,Marcus Corp.,Communication Services,"18,85",0,,,0,"457,855906",N/A,0,"0,9697923665","24,71","14,42"
MCY,Mercury General Corp.,Financial Services,"52,84","0,04806964421","0,00395256917","0,003984189977","2,489755784","2925,792438","7,615146101","0,3587544357","0,4621337582","65,64","50,09"
MD,MEDNAX Inc,Healthcare,"25,42",0,,,0,"2197,62166","114,7463273",0,"0,8779888835","35,67","20,27"
MDB,MongoDB Inc,Technology,"445,83",0,,,0,"29760,5368",N/A,0,"1,929208042",590,"238,01"
MDC,"M.D.C. Holdings, Inc.",Consumer Cyclical,"44,08","0,04537205082",,,"1,774474895","3115,049539","2,729243656","0,1132402613","1,450140403","61,63","42,78"
MDGL,Madrigal Pharmaceuticals Inc,Healthcare,"89,91",0,,,0,"1537,199362",0,N/A,"1,118791275","142,62","52,33"
MDLY,Medley Management Inc,Financial Services,"5,88",0,,,0,"18,003731",0,N/A,,,
MDLZ,Mondelez International Inc.,Consumer Defensive,"65,87","0,02125398512","0,1111111111","0,1299595284","1,319542877","91886,81434","10,68451329","0,2166737072","0,3500601282","69,47","51,78"
MDP,Meredith Holdings Corp,Communication Services,"59,07",0,,,0,0,0,N/A,,,
MDRX,Allscripts Healthcare Solutions Inc,Healthcare,"20,88",0,,,0,"2559,313007","3,302394758",0,"0,5827935187","21,95","13,05"
MDT,Medtronic Plc,Healthcare,"103,91","0,02425175633","0,08620689655","0,07938012944","2,449598258","139712,9993","29,70720802","0,7059360974","0,6933887321","134,37","97,75"
MDU,MDU Resources Group Inc,Basic Materials,"27,33","0,03183315038",,,"0,8460068627","5532,437317","13,69784748","0,4230034314","0,6866180086","34,3","26,74"
MED,Medifast Inc,Consumer Cyclical,"190,8","0,02976939203","0,2566371681","0,3471863482","5,654028044","2216,377256","14,02752659","0,4241581428","1,271370683","333,01","184,06"
MEDP,Medpace Holdings Inc,Healthcare,"138,87",0,,,0,"4990,875454","27,41049464",0,"1,118137649",231,"136,8"
MEI,"Methode Electronics, Inc.",Technology,"46,68","0,01130460499","0,2727272727","0,09238846414","0,527698961","1739,712485","14,54609102","0,1691342824","0,9739995767","49,79","37,63"
MEIP,MEI Pharma Inc,Healthcare,"2,16",0,,,0,"287,248777",N/A,0,"0,6122207192","4,22","1,68"
MERC,Mercer International Inc.,Basic Materials,"12,85","0,02006361846",0,"-0,1078392697","0,2578174973","848,582543",0,N/A,"0,9731120911","17,84","9,45"
MESA,Mesa Air Group Inc.,Industrials,"4,96",0,,,0,"178,381504",0,N/A,"1,518773642","17,4","4,45"
MET,Metlife Inc,Financial Services,"71,57","0,02682688277","0,04347826087","0,03713728934","1,8990894","60201,83501","11,35669402","0,3170433055","0,8870650788","72,55","52,78"
MFA,MFA Financial Inc,Real Estate,"4,41","0,08465561878",,,"0,3733312788","1944,487175","6,549917725","0,5582106442","0,9251362477","4,72","3,48"
MFNC,Mackinac Financial Corp.,Financial Services,"21,5",0,,,"0,5527029551",0,0,N/A,,,
MG,Mistras Group Inc,Industrials,"6,83",0,,,0,"201,1998","48,64598639",0,"1,255311253","12,57","6,5"
MGEE,"MGE Energy, Inc.",Utilities,"71,62","0,02164199944","0,0472972973","0,04733427713","1,503856368","2590,020559","23,87181728","0,5012854559","0,4582843865","82,55","62,4"
MGI,Moneygram International Inc.,Financial Services,"10,7",0,,,0,"981,065998",N/A,0,"1,87492633","12,36","5,06"
MGLN,Magellan Health Inc,Healthcare,"94,99",0,,,0,0,0,0,,,
MGM,MGM Resorts International,Consumer Cyclical,"45,08","0,0002218085007",0,"-0,530852437","0,009999127213","21140,70972","34,3601087","0,00799930177","1,223677133","51,17","34,1"
MGNX,Macrogenics Inc,Healthcare,"11,16",0,,,0,"683,639291",0,N/A,"1,188334354","36,48","10,32"
MGPI,"MGP Ingredients, Inc.",Consumer Defensive,"78,42","0,006105077882",0,"0,2457309396","0,4787602075","1722,440092","24,42138228","0,1318898643","0,9078434242","89,5","57,69"
MGRC,McGrath Rentcorp,Industrials,"76,01","0,02289172477","0,03571428571","0,1084170096","1,725454996","1842,981634","19,93856776","0,4576803703","0,7609350327","86,07","66,33"
MGTA,Magenta Therapeutics Inc,Healthcare,"3,19",0,,,0,"187,499494",0,N/A,"1,161911278","14,2","2,88"
MGY,Magnolia Oil & Gas Corp,Energy,"20,11","0,01388552031",,,"0,2792378135","3656,030176",0,N/A,"1,457165639","23,12","9,67"
MGYR,Magyar Bancorp Inc.,Financial Services,"11,94","0,002512562758",,,"0,02999999933","84,748031",0,N/A,,"12,46","10,02"
MHH,Mastech Digital Inc,Industrials,"18,92",0,,,0,"216,407206",0,N/A,"0,5408934078","20,6",14
MHK,"Mohawk Industries, Inc.",Consumer Cyclical,"148,32",0,,,0,"10046,06556","9,197242826",0,"1,440345925","231,8","143,25"
MHLD,Maiden Holdings Ltd,Financial Services,"2,73",0,,,0,"235,991457","1,594687718",0,"0,9609572252",4,"2,45"
MHO,MI Homes Inc.,Consumer Cyclical,"49,61",0,,,0,"1443,632644","3,97073627",0,"1,666156726","74,85","47,36"
MIC,Macquarie Infrastructure Holdings LLC,Industrials,"3,61",0,,,0,"318,397711",0,N/A,,"3,8","3,26"
MICR,Micron Solutions Inc,Healthcare,"2,4",0,,,0,"8,363052",0,N/A,,"4,75","1,34"
MICT,MICT Inc,Technology,"0,8123",0,,,0,"99,454418",0,N/A,"1,409189453","3,23","0,503"
MIDD,Middleby Corp.,Industrials,193,0,,,0,"10735,88111","24,53069023",0,"1,046863732","201,34","129,4"
MIK,Michaels Companies Inc,Consumer Cyclical,"21,97",0,,,0,0,0,0,,,
MIND,MIND Technology Inc,Technology,"1,18",0,,,0,"16,253443",N/A,0,"0,7373125722","2,69","1,13"
MITK,Mitek Systems Inc,Technology,"15,75",0,,,0,"697,686932","78,08471542",0,"1,466315043","23,29","13,52"
MITT,AG Mortgage Investment Trust Inc,Real Estate,"9,79","0,08051363793",,,"0,7882285154","155,245052",N/A,N/A,"0,8287615032","14,06","9,28"
MKC,"McCormick & Co., Inc.",Consumer Defensive,"100,12","0,01478226129","0,08823529412","-0,04671935973","1,381872916","26705,10852","17,67847777","0,2467630207","0,2041525118","103,76","77,55"
MKL,Markel Corp,Financial Services,"1260,89",0,,,0,"17234,15722","7,225367971",0,"0,801898189","1343,56","1062,11"
MKSI,"MKS Instruments, Inc.",Technology,"152,55","0,005631751393","0,1","0,04683184708","0,8591236751","8460,256873","16,37046609","0,09237888979","1,946853653","198,9","138,49"
MKTX,MarketAxess Holdings Inc.,Financial Services,"381,84","0,00733291431","0,06060606061","0,1622962056","2,673225152","14520,03227","52,11148772","0,3656942753","0,8041412257","583,31","320,56"
MLAB,"Mesa Laboratories, Inc.",Technology,"257,81","0,002480365734",,,"0,63946309","1352,456565","174,1285651","0,4379884178","0,5490102883","333,42","232,47"
MLHR,Herman Miller Inc.,Industrials,"39,04","0,01908883947",,,"0,745228293","2958,202047","76,63735872","1,181963986",,"51,03","30,13"
MLI,"Mueller Industries, Inc.",Industrials,"57,29","0,009040954919","0,3","-0,4662173917","0,5179563073","3286,538759","8,663856758","0,07742246746","1,184536227","62,92","36,25"
MLM,"Martin Marietta Materials, Inc.",Basic Materials,"385,01","0,006116102017","0,0701754386","0,07749709742","2,354760438","24017,65185","32,9731629","0,2021253595","1,048024898","446,46","310,99"
